<doc id="edoc_wd_1722-10-31" attrs="word" year="1722" month="10" day="31" corpus="1">
<head id="hl1">
Madrid	w52
29	w53
<g/>
.
September	w55
<g/>
.
</head>
<p id="p4">
DEr	w57
letztens	w58
von	w59
Rom	w60
abgereisete	w61
Portugesis	w62
Card	w63
<g/>
.
Acunha	w65
<g/>
,
wel=cher	w67
<g/>
=
seinen	w69
Weg	w70
zu	w71
Lande	w72
durch	w73
Franckreich	w74
nach	w75
Lisbon	w76
genommen	w77
<g/>
/
ist	w79
den	w80
21	w81
<g/>
.
dieses	w83
zu	w84
Balsain	w85
angelanget	w86
<g/>
/
alwo	w88
er	w89
noch	w90
denselbigen	w91
Tag	w92
bey	w93
Jh=ren	w94
<g/>
=
Königl	w96
<g/>
.
Majestäten	w98
zum	w99
Hand=Kuß	w100
<g/>
=
gelassen	w102
worden;	w103
der	w104
Cardinal	w105
von	w106
Borgia	w107
tractirte	w108
ihn	w109
in	w110
Gesellschaft	w111
unterschiedlicher	w112
anderer	w113
Herren	w114
zu	w115
Mit=tag	w116
<g/>
=
<g/>
/
welche	w119
denselben	w120
nachgehends	w121
die	w122
Gebäue	w123
<g/>
/
und	w125
Manufacturen	w126
von	w127
Gran-ja	w128
<g/>
-
zu	w130
besehen	w131
herum	w132
führten;	w133
nach	w134
die=sem	w135
<g/>
=
nahmen	w137
Jhre	w138
Eminentz	w139
das	w140
Nacht=Lager	w141
<g/>
=
zu	w143
Segovie	w144
<g/>
,
von	w146
dannen	w147
sie	w148
sich	w149
den	w150
23	w151
<g/>
.
nach	w153
dem	w154
Escurial	w155
verfügten	w156
<g/>
/
alwo	w158
sie	w159
nachdeme	w160
dieselbe	w161
jenes	w162
präch=tige	w163
<g/>
=
<g/>
/
und	w166
grosse	w167
Gebäu	w168
betrachtet	w169
<g/>
/
bey	w171
dem	w172
erstgebornen	w173
Printzen	w174
<g/>
/
und	w176
dessen	w177
Frau	w178
Gemahlin	w179
gleicher	w180
Gestalten	w181
zum	w182
Hand	w183
<g/>
=
Kuß	w185
gelassen	w186
wurden;	w187
den	w188
24	w189
<g/>
.
kehrten	w191
Jhre	w192
Eminentz	w193
in	w194
diese	w195
Stadt	w196
zuruck	w197
<g/>
/
und	w199
nahmen	w200
ihre	w201
Wohung	w202
in	w203
dem	w204
Pallast	w205
des	w206
Portugesischen	w207
Bott=schafters	w208
<g/>
=
<g/>
.
</p>
<p id="p5">
Jgre	w211
Maiestät	w212
der	w213
König	w214
haben	w215
dem	w216
Herrn	w217
Thomas	w218
Nuñez	w219
Flores	w220
<g/>
,
Cano	w222
<g/>
-
nico	w224
Pœnitentiario	w225
der	w226
Dom	w227
<g/>
=
Kirchen	w229
von	w230
Salamanca	w231
die	w232
zu	w233
Rom	w234
vor	w235
die	w236
Cro=ne	w237
<g/>
=
von	w239
Castilien	w240
erledigte	w241
Stelle	w242
des	w243
Auditors	w244
di	w245
Rota	w246
verliehen	w247
<g/>
.
</p>
<p id="p6">
Nachdeme	w249
der	w250
Staats	w251
<g/>
=
Secretarius	w253
Marche	w254
<g/>
-
</p>
<p id="p7">
se	w256
Grimaldo	w257
den	w258
17	w259
<g/>
.
dieses	w261
von	w262
Balsain	w263
wie=der	w264
<g/>
=
zuruck	w266
gekommen	w267
<g/>
/
hat	w269
er	w270
alsogleich	w271
dem	w272
Holländischen	w273
Secretario	w274
Herr	w275
Ham	w276
auf	w277
seine	w278
einige	w279
Täge	w280
zuvor	w281
übergebenes	w282
Memorial	w283
we=gen	w284
